"date","lon","lat"
2014-02-18 03:32:08,-60.1675415039063,43.9757690429688
2014-02-18 15:32:08,-60.1678504943848,43.9757881164551
2014-02-19 03:32:08,-60.1680107116699,43.9756813049316
2014-02-19 11:00:07,-60.1703491210938,43.9753189086914
2014-02-19 12:02:40,-60.203498840332,43.9492797851563
2014-02-19 13:04:07,-60.2250289916992,43.9156303405762
2014-02-19 14:05:30,-60.2445182800293,43.8779106140137
2014-02-19 15:07:54,-60.2536506652832,43.8371200561523
2014-02-19 16:14:20,-60.2676200866699,43.7959289550781
2014-02-19 21:27:42,-60.3977584838867,43.6207618713379
2014-02-19 23:38:06,-60.4555282592773,43.5659294128418
2014-02-20 00:39:44,-60.4885215759277,43.5500106811523
2014-02-20 01:44:39,-60.5342483520508,43.5390014648438
2014-02-20 02:50:54,-60.5792503356934,43.5233116149902
2014-02-20 03:51:44,-60.6134796142578,43.5051498413086
2014-02-20 10:06:30,-60.8426208496094,43.3899192810059
2014-02-20 11:08:04,-60.8900489807129,43.3847007751465
2014-02-20 12:08:58,-60.9338111877441,43.3768501281738
2014-02-20 14:11:38,-60.9845695495605,43.3267402648926
2014-02-20 15:16:28,-60.9902610778809,43.2895393371582
2014-02-20 19:22:04,-61.0668907165527,43.146800994873
2014-02-20 23:30:09,-61.3275909423828,43.0878295898438
2014-02-21 00:32:58,-61.3864898681641,43.1021194458008
2014-02-21 01:34:46,-61.4532203674316,43.1096687316895
2014-02-21 02:39:35,-61.5178985595703,43.1182708740234
2014-02-21 03:44:29,-61.5717582702637,43.122730255127
2014-02-21 04:49:34,-61.6223182678223,43.1225814819336
2014-02-21 06:54:55,-61.7154197692871,43.1200408935547
2014-02-21 07:56:05,-61.7629585266113,43.1241798400879
2014-02-21 08:58:11,-61.8151702880859,43.122989654541
2014-02-21 10:00:39,-61.8684310913086,43.1249809265137
2014-02-21 11:01:19,-61.9205207824707,43.1187705993652
2014-02-21 14:09:53,-62.0805206298828,43.1309013366699
2014-02-21 15:10:30,-62.1263313293457,43.1386299133301
2014-02-21 16:11:43,-62.169750213623,43.141960144043
2014-02-21 17:11:48,-62.2031288146973,43.1465911865234
2014-02-21 18:15:55,-62.240550994873,43.1537818908691
2014-02-21 19:16:00,-62.2737617492676,43.155891418457
2014-02-21 20:17:00,-62.3254013061523,43.1487197875977
2014-02-21 22:27:53,-62.4323387145996,43.1405601501465
2014-02-21 23:27:53,-62.4731292724609,43.1387786865234
2014-02-22 01:28:55,-62.5349311828613,43.1403503417969
2014-02-22 02:29:40,-62.5893211364746,43.1455917358398
2014-02-22 03:30:14,-62.6415481567383,43.1568489074707
2014-02-22 04:32:09,-62.6869506835938,43.1582298278809
2014-02-22 05:36:09,-62.7334403991699,43.1604194641113
2014-02-22 06:41:56,-62.7803802490234,43.1624984741211
2014-02-22 08:46:26,-62.8734283447266,43.1698188781738
2014-02-22 09:53:12,-62.9146614074707,43.1864013671875
2014-02-22 10:53:14,-62.9542808532715,43.1911201477051
2014-02-22 11:53:14,-62.9943504333496,43.2003517150879
2014-02-22 13:56:59,-63.0873908996582,43.2175903320313
2014-02-22 14:57:12,-63.1303405761719,43.2078285217285
2014-02-22 15:59:56,-63.1773300170898,43.1917610168457
2014-02-22 18:05:36,-63.2581596374512,43.1554489135742
2014-02-22 20:14:12,-63.3186912536621,43.1245803833008
2014-02-22 21:14:11,-63.3424110412598,43.1111297607422
2014-02-22 23:19:55,-63.4328193664551,43.0820693969727
2014-02-23 00:20:42,-63.4605407714844,43.0676116943359
2014-02-23 01:24:22,-63.4928398132324,43.0461807250977
2014-02-23 03:28:46,-63.5808792114258,43.0067481994629
2014-02-23 10:46:00,-63.7941017150879,42.8606796264648
2014-02-23 11:48:46,-63.8207397460938,42.8807907104492
2014-02-23 12:52:58,-63.8650817871094,42.892219543457
2014-02-23 13:57:56,-63.9139709472656,42.8980407714844
2014-02-23 14:59:23,-63.9630088806152,42.8983612060547
2014-02-23 15:59:28,-64.0103607177734,42.8996086120605
2014-02-23 17:01:31,-64.0596008300781,42.8933982849121
2014-02-23 18:06:51,-64.1106109619141,42.8920288085938
2014-02-23 19:10:19,-64.1539916992188,42.9065208435059
2014-02-23 21:10:50,-64.2356567382813,42.9092292785645
2014-02-23 23:12:37,-64.3077774047852,42.8811302185059
2014-02-24 00:12:40,-64.3437881469727,42.8586883544922
2014-02-24 01:13:11,-64.3881301879883,42.8400497436523
2014-02-24 03:16:44,-64.4742965698242,42.8003196716309
2014-02-24 04:21:39,-64.529670715332,42.785530090332
2014-02-24 06:21:44,-64.6195373535156,42.7778015136719
2014-02-24 08:34:12,-64.7227935791016,42.7486114501953
2014-02-24 09:39:23,-64.7696304321289,42.7323684692383
2014-02-24 10:46:09,-64.8078384399414,42.7145614624023
2014-02-24 11:52:39,-64.8435668945313,42.7000885009766
2014-02-24 12:55:23,-64.8828811645508,42.6822204589844
2014-02-24 15:01:31,-64.9509429931641,42.6324195861816
2014-02-24 16:06:32,-64.9746780395508,42.6184005737305
2014-02-24 17:12:28,-65.0182723999023,42.600170135498
2014-02-24 18:16:39,-65.0532073974609,42.5890617370605
2014-02-24 21:22:57,-65.1768569946289,42.5610694885254
2014-02-24 22:23:00,-65.2126617431641,42.5469207763672
2014-02-24 23:24:18,-65.2384262084961,42.5234794616699
2014-02-25 00:24:37,-65.2329483032227,42.492790222168
2014-02-25 01:26:26,-65.2282562255859,42.4570999145508
2014-02-25 03:38:20,-65.2742919921875,42.3848304748535
2014-02-25 04:44:00,-65.3113708496094,42.3486404418945
