"","ID","time","depth","dt"
"119","T172062",2017-08-08 03:27:30,1,1.25
"120","T172062",2017-08-08 03:28:45,5.5,1.25
"121","T172062",2017-08-08 03:30:00,9,1.25
"122","T172062",2017-08-08 03:31:15,9,1.25
"123","T172062",2017-08-08 03:32:30,7,1.25
"124","T172062",2017-08-08 03:33:45,2.5,1.25
"125","T172062",2017-08-08 03:35:00,7,1.25
"126","T172062",2017-08-08 03:36:15,0.5,1.25
"127","T172062",2017-08-08 03:37:30,7,1.25
"128","T172062",2017-08-08 03:38:45,13,1.25
"129","T172062",2017-08-08 03:40:00,2.5,1.25
"130","T172062",2017-08-08 03:41:15,2.5,1.25
"131","T172062",2017-08-08 03:42:30,3.5,1.25
"132","T172062",2017-08-08 03:43:45,2.5,1.25
"133","T172062",2017-08-08 03:45:00,13,1.25
"134","T172062",2017-08-08 03:46:15,1.5,1.25
"135","T172062",2017-08-08 03:47:30,1.5,1.25
"136","T172062",2017-08-08 03:48:45,2.5,1.25
"137","T172062",2017-08-08 03:50:00,5.5,1.25
"138","T172062",2017-08-08 03:51:15,7,1.25
"139","T172062",2017-08-08 03:52:30,1.5,1.25
"140","T172062",2017-08-08 03:53:45,11,1.25
"141","T172062",2017-08-08 03:55:00,1,1.25
"142","T172062",2017-08-08 03:56:15,4.5,1.25
"143","T172062",2017-08-08 03:57:30,1.5,1.25
"144","T172062",2017-08-08 03:58:45,3.5,1.25
"145","T172062",2017-08-08 04:00:00,22,1.25
"146","T172062",2017-08-08 04:01:15,41,1.25
"147","T172062",2017-08-08 04:02:30,63,1.25
"148","T172062",2017-08-08 04:03:45,75.5,1.25
"149","T172062",2017-08-08 04:05:00,75.5,1.25
"150","T172062",2017-08-08 04:06:15,88,1.25
"151","T172062",2017-08-08 04:07:30,88,1.25
"152","T172062",2017-08-08 04:08:45,50.5,1.25
"153","T172062",2017-08-08 04:10:00,22,1.25
"154","T172062",2017-08-08 04:11:15,2.5,1.25
"155","T172062",2017-08-08 04:12:30,1,1.25
"156","T172062",2017-08-08 04:13:45,5.5,1.25
"157","T172062",2017-08-08 04:15:00,17.5,1.25
"158","T172062",2017-08-08 04:16:15,14,1.25
"159","T172062",2017-08-08 04:17:30,8,1.25
"160","T172062",2017-08-08 04:18:45,1,1.25
"161","T172062",2017-08-08 04:20:00,1,1.25
"162","T172062",2017-08-08 04:21:15,4,1.25
"163","T172062",2017-08-08 04:22:30,17.5,1.25
"164","T172062",2017-08-08 04:23:45,34.5,1.25
"165","T172062",2017-08-08 04:25:00,34.5,1.25
"166","T172062",2017-08-08 04:26:15,28.5,1.25
"167","T172062",2017-08-08 04:27:30,17.5,1.25
"168","T172062",2017-08-08 04:28:45,28.5,1.25
"169","T172062",2017-08-08 04:30:00,17.5,1.25
"170","T172062",2017-08-08 04:31:15,1,1.25
"171","T172062",2017-08-08 04:32:30,11,1.25
"172","T172062",2017-08-08 04:33:45,1,1.25
"173","T172062",2017-08-08 04:35:00,1,1.25
"174","T172062",2017-08-08 04:36:15,11,1.25
"175","T172062",2017-08-08 04:37:30,8,1.25
"176","T172062",2017-08-08 04:38:45,1,1.25
"177","T172062",2017-08-08 04:40:00,5.5,1.25
"178","T172062",2017-08-08 04:41:15,5.5,1.25
"179","T172062",2017-08-08 04:42:30,11,1.25
"180","T172062",2017-08-08 04:43:45,5.5,1.25
"181","T172062",2017-08-08 04:45:00,1,1.25
"182","T172062",2017-08-08 04:46:15,2.5,1.25
"183","T172062",2017-08-08 04:47:30,17.5,1.25
"184","T172062",2017-08-08 04:48:45,28.5,1.25
"185","T172062",2017-08-08 04:50:00,50.5,1.25
"186","T172062",2017-08-08 04:51:15,63,1.25
"187","T172062",2017-08-08 04:52:30,41,1.25
"188","T172062",2017-08-08 04:53:45,28.5,1.25
"189","T172062",2017-08-08 04:55:00,22,1.25
"190","T172062",2017-08-08 04:56:15,14,1.25
"191","T172062",2017-08-08 04:57:30,1,1.25
"192","T172062",2017-08-08 04:58:45,1,1.25
"193","T172062",2017-08-08 05:00:00,8.5,1.25
"194","T172062",2017-08-08 05:01:15,8.5,1.25
"195","T172062",2017-08-08 05:02:30,1.5,1.25
"196","T172062",2017-08-08 05:03:45,6,1.25
"197","T172062",2017-08-08 05:05:00,1.5,1.25
"198","T172062",2017-08-08 05:06:15,1.5,1.25
"199","T172062",2017-08-08 05:07:30,6,1.25
"200","T172062",2017-08-08 05:08:45,4,1.25
"201","T172062",2017-08-08 05:10:00,1.5,1.25
"202","T172062",2017-08-08 05:11:15,8.5,1.25
"203","T172062",2017-08-08 05:12:30,0.5,1.25
"204","T172062",2017-08-08 05:13:45,3,1.25
"205","T172062",2017-08-08 05:15:00,8.5,1.25
"206","T172062",2017-08-08 05:16:15,8.5,1.25
"207","T172062",2017-08-08 05:17:30,11,1.25
"208","T172062",2017-08-08 05:18:45,1.5,1.25
"209","T172062",2017-08-08 05:20:00,3,1.25
"210","T172062",2017-08-08 05:21:15,0.5,1.25
"211","T172062",2017-08-08 05:22:30,16.5,1.25
"212","T172062",2017-08-08 05:23:45,38.5,1.25
"213","T172062",2017-08-08 05:25:00,67.5,1.25
"214","T172062",2017-08-08 05:26:15,48,1.25
"215","T172062",2017-08-08 05:27:30,31,1.25
"216","T172062",2017-08-08 05:28:45,13,1.25
"217","T172062",2017-08-08 05:30:00,0.5,1.25
"218","T172062",2017-08-08 05:31:15,6,1.25
"219","T172062",2017-08-08 05:32:30,3,1.25
"220","T172062",2017-08-08 05:33:45,1.5,1.25
"221","T172062",2017-08-08 05:35:00,3,1.25
"222","T172062",2017-08-08 05:36:15,1.5,1.25
"223","T172062",2017-08-08 05:37:30,4,1.25
"224","T172062",2017-08-08 05:38:45,0.5,1.25
"225","T172062",2017-08-08 05:40:00,3,1.25
"226","T172062",2017-08-08 05:41:15,6,1.25
"227","T172062",2017-08-08 05:42:30,4,1.25
"228","T172062",2017-08-08 05:43:45,3,1.25
"229","T172062",2017-08-08 05:45:00,0.5,1.25
"230","T172062",2017-08-08 05:46:15,6,1.25
"231","T172062",2017-08-08 05:47:30,8.5,1.25
"232","T172062",2017-08-08 05:48:45,6,1.25
"233","T172062",2017-08-08 05:50:00,0.5,1.25
"234","T172062",2017-08-08 05:51:15,4,1.25
"235","T172062",2017-08-08 05:52:30,4,1.25
"236","T172062",2017-08-08 05:53:45,21.5,1.25
"237","T172062",2017-08-08 05:55:00,26.5,1.25
"238","T172062",2017-08-08 05:56:15,16.5,1.25
"239","T172062",2017-08-08 05:57:30,0.5,1.25
"240","T172062",2017-08-08 05:58:45,1.5,61.25
"241","T172062",2017-08-08 07:00:00,292,1.25
"242","T172062",2017-08-08 07:01:15,292,1.25
"243","T172062",2017-08-08 07:02:30,292,1.25
"244","T172062",2017-08-08 07:03:45,292,1.25
"245","T172062",2017-08-08 07:05:00,292,1.25
"246","T172062",2017-08-08 07:06:15,250,1.25
"247","T172062",2017-08-08 07:07:30,208,1.25
"248","T172062",2017-08-08 07:08:45,114.5,1.25
"249","T172062",2017-08-08 07:10:00,47,1.25
"250","T172062",2017-08-08 07:11:15,2.5,1.25
"251","T172062",2017-08-08 07:12:30,2.5,1.25
"252","T172062",2017-08-08 07:13:45,13,1.25
"253","T172062",2017-08-08 07:15:00,13,1.25
"254","T172062",2017-08-08 07:16:15,2.5,1.25
"255","T172062",2017-08-08 07:17:30,8,1.25
"256","T172062",2017-08-08 07:18:45,2.5,1.25
"257","T172062",2017-08-08 07:20:00,2.5,1.25
"258","T172062",2017-08-08 07:21:15,2.5,1.25
"259","T172062",2017-08-08 07:22:30,8,1.25
"260","T172062",2017-08-08 07:23:45,18,1.25
"261","T172062",2017-08-08 07:25:00,26,1.25
"262","T172062",2017-08-08 07:26:15,2.5,1.25
"263","T172062",2017-08-08 07:27:30,8,1.25
"264","T172062",2017-08-08 07:28:45,2.5,1.25
"265","T172062",2017-08-08 07:30:00,2.5,1.25
"266","T172062",2017-08-08 07:31:15,18,1.25
"267","T172062",2017-08-08 07:32:30,18,1.25
"268","T172062",2017-08-08 07:33:45,2.5,1.25
"269","T172062",2017-08-08 07:35:00,2.5,1.25
"270","T172062",2017-08-08 07:36:15,13,1.25
"271","T172062",2017-08-08 07:37:30,26,1.25
"272","T172062",2017-08-08 07:38:45,26,1.25
"273","T172062",2017-08-08 07:40:00,8,1.25
"274","T172062",2017-08-08 07:41:15,2.5,1.25
"275","T172062",2017-08-08 07:42:30,2.5,1.25
"276","T172062",2017-08-08 07:43:45,26,1.25
"277","T172062",2017-08-08 07:45:00,36.5,1.25
"278","T172062",2017-08-08 07:46:15,26,1.25
"279","T172062",2017-08-08 07:47:30,36.5,1.25
"280","T172062",2017-08-08 07:48:45,2.5,1.25
"281","T172062",2017-08-08 07:50:00,2.5,1.25
"282","T172062",2017-08-08 07:51:15,8,1.25
"283","T172062",2017-08-08 07:52:30,13,1.25
"284","T172062",2017-08-08 07:53:45,18,1.25
"285","T172062",2017-08-08 07:55:00,13,1.25
"286","T172062",2017-08-08 07:56:15,2.5,1.25
"287","T172062",2017-08-08 07:57:30,2.5,1.25
"288","T172062",2017-08-08 07:58:45,18,1.25
"289","T172062",2017-08-08 08:00:00,17.5,1.25
"290","T172062",2017-08-08 08:01:15,22,1.25
"291","T172062",2017-08-08 08:02:30,17.5,1.25
"292","T172062",2017-08-08 08:03:45,3.5,1.25
"293","T172062",2017-08-08 08:05:00,6,1.25
"294","T172062",2017-08-08 08:06:15,31,1.25
"295","T172062",2017-08-08 08:07:30,31,1.25
"296","T172062",2017-08-08 08:08:45,2.5,1.25
"297","T172062",2017-08-08 08:10:00,0.5,1.25
"298","T172062",2017-08-08 08:11:15,17.5,1.25
"299","T172062",2017-08-08 08:12:30,22,1.25
"300","T172062",2017-08-08 08:13:45,22,1.25
"301","T172062",2017-08-08 08:15:00,14,1.25
"302","T172062",2017-08-08 08:16:15,2.5,1.25
"303","T172062",2017-08-08 08:17:30,5,1.25
"304","T172062",2017-08-08 08:18:45,17.5,1.25
"305","T172062",2017-08-08 08:20:00,26.5,1.25
"306","T172062",2017-08-08 08:21:15,26.5,1.25
"307","T172062",2017-08-08 08:22:30,22,1.25
"308","T172062",2017-08-08 08:23:45,2,1.25
"309","T172062",2017-08-08 08:25:00,12,1.25
"310","T172062",2017-08-08 08:26:15,22,1.25
"311","T172062",2017-08-08 08:27:30,26.5,1.25
"312","T172062",2017-08-08 08:28:45,22,1.25
"313","T172062",2017-08-08 08:30:00,2,1.25
"314","T172062",2017-08-08 08:31:15,2,1.25
"315","T172062",2017-08-08 08:32:30,17.5,1.25
"316","T172062",2017-08-08 08:33:45,26.5,1.25
"317","T172062",2017-08-08 08:35:00,31,1.25
"318","T172062",2017-08-08 08:36:15,31,1.25
"319","T172062",2017-08-08 08:37:30,26.5,1.25
"320","T172062",2017-08-08 08:38:45,10,1.25
"321","T172062",2017-08-08 08:40:00,1.5,1.25
"322","T172062",2017-08-08 08:41:15,12,1.25
"323","T172062",2017-08-08 08:42:30,22,1.25
"324","T172062",2017-08-08 08:43:45,17.5,1.25
"325","T172062",2017-08-08 08:45:00,26.5,1.25
"326","T172062",2017-08-08 08:46:15,31,1.25
"327","T172062",2017-08-08 08:47:30,26.5,1.25
"328","T172062",2017-08-08 08:48:45,2,1.25
"329","T172062",2017-08-08 08:50:00,2,1.25
"330","T172062",2017-08-08 08:51:15,17.5,1.25
"331","T172062",2017-08-08 08:52:30,26.5,1.25
"332","T172062",2017-08-08 08:53:45,26.5,1.25
"333","T172062",2017-08-08 08:55:00,14,1.25
"334","T172062",2017-08-08 08:56:15,1.5,1.25
"335","T172062",2017-08-08 08:57:30,6,1.25
"336","T172062",2017-08-08 08:58:45,12,1.25
"337","T172062",2017-08-08 09:00:00,4.5,1.25
"338","T172062",2017-08-08 09:01:15,2.5,1.25
"339","T172062",2017-08-08 09:02:30,4.5,1.25
"340","T172062",2017-08-08 09:03:45,6.5,1.25
"341","T172062",2017-08-08 09:05:00,1,1.25
"342","T172062",2017-08-08 09:06:15,26,1.25
"343","T172062",2017-08-08 09:07:30,41.5,1.25
"344","T172062",2017-08-08 09:08:45,60,1.25
"345","T172062",2017-08-08 09:10:00,75,1.25
"346","T172062",2017-08-08 09:11:15,60,1.25
"347","T172062",2017-08-08 09:12:30,60,1.25
"348","T172062",2017-08-08 09:13:45,104.5,1.25
"349","T172062",2017-08-08 09:15:00,104.5,1.25
"350","T172062",2017-08-08 09:16:15,104.5,1.25
"351","T172062",2017-08-08 09:17:30,104.5,1.25
"352","T172062",2017-08-08 09:18:45,75,1.25
"353","T172062",2017-08-08 09:20:00,1,1.25
